id_cuenta,cedula,gmail,contrasena
1,0102030401,ana.martinez@correo.com,ana#2025
2,0102030402,luis.gomez@correo.com,luis@123
3,0102030403,camila.rodri@correo.com,cami@2025
4,0102030404,lucia.fernandez@correo.com,lucia2025
5,0102030405,javierp@correo.com,javi$pass
6,0102030406,marta.diaz@correo.com,marta@diaz
7,0102030407,david.sanchez@correo.com,david2025
8,0102030408,laura.ramirez@correo.com,laura@pass
9,0102030409,andres.castillo@correo.com,andres!pass
10,0102030410,paula.morales@correo.com,paula_2025
11,0102030411,sofia.rojas@correo.com,sofi@123
12,0102030412,manuel.herrera@correo.com,manuel@25
13,0102030413,julia.ortega@correo.com,julia2025
14,0102030414,pedro.vargas@correo.com,pedro_pass
15,0102030415,elena.cruz@correo.com,elena#25
16,0102030416,diego.lopez@correo.com,diego@pass
17,0102030417,isabel.jimenez@correo.com,isabel123
18,0102030418,alberto.silva@correo.com,alberto2025
19,0102030419,clara.torres@correo.com,clara@pass
20,0102030420,hugo.navarro@correo.com,hugo#25
